Date,Open,High,Low,Close,Volume,Volatility
2021-03-23,8407,8469,8304,8304,6071300,165
2021-03-22,8553,8560,8362,8362,8722800,198
2021-03-19,8645,8712,8608,8644,9905500,104
2021-03-18,8402,8650,8394,8650,14952300,256
2021-03-17,8210,8308,8133,8308,5359100,175
2021-03-16,8333,8333,8218,8269,5700200,115
2021-03-15,8211,8340,8210,8340,6452800,130
2021-03-12,8070,8145,8018,8145,6505000,127
2021-03-11,8154,8179,8060,8091,5823500,119
2021-03-10,8200,8213,8105,8128,5727400,108
2021-03-09,8089,8189,8020,8189,8117000,169
2021-03-08,8089,8147,7922,7961,6899200,225
2021-03-05,7910,7969,7786,7969,6787000,183
2021-03-04,8000,8002,7804,7922,5452000,198
2021-03-03,7979,8024,7905,7971,4346700,119
2021-03-02,7999,8015,7840,7923,4895400,175
2021-03-01,7911,7935,7851,7925,3896400,84
